Artist ID,Name,Nationality,Gender,Birth Year,Death Year
433,Ed Bereal,American,Male,1937,
434,Stephen Lynn Berens,American,Male,1952,
435,Berger (?),British,,1938,
436,Charles Berger,American,Male,1943,
437,Jason Berger,American,Male,1924,2010
438,Hagbard Elis Bergh,Swedish,Male,1881,1954
439,Håkan Bergkvist,Swedish,Male,1946,
440,Ella Bergmann-Michel,German,Female,1896,1971
441,Paul Bergtold,Nationality unknown,Male,,
442,Henryk Berlewi,Polish,Male,1894,1967
443,Eugene Berman,American,Male,1899,1972
444,Mieczyslaw Berman,Polish,Male,1903,1975
445,Sarah Berman,American,Female,1895,1957
446,Wallace Berman,American,Male,1926,1976
447,Zeke Berman,American,Male,1951,
448,Cundo Bermúdez,Cuban,Male,1914,2008
449,José Ygnacio Bermudez,Cuban,Male,1922,1988
450,Thoni Bern,Swiss,,,
451,Camille Bernabé,French,Male,1808,1900
452,Émile Bernard,French,Male,1868,1941
453,Francis Bernard,French,Male,1900,1979
454,Valère Bernard,French,Male,1860,1936
455,Jerry Berndt,American,Male,1943,2013
456,Lucian Bernhard,American,Male,1883,1972
457,Ruth Bernhard,American,Female,1905,2006
458,Antonio Berni,Argentine,Male,1905,1981
459,Janez Bernik,Yugoslav,Male,1933,
460,Judith Bernstein,American,Female,1942,
461,Richard Bernstein,American,Male,1939,2002
462,Jean Berque,French,Male,1896,1954
463,Miguel Ortiz Berrocal,Spanish,Male,1933,2006
464,Bertall & Cie.,French,,,
465,M. Berthaud,French,,,
466,Palme Berthold,,,,
467,Berthold-Mahn (Charles Désiré),French,Male,1893,1975
468,René Bertholo,Portuguese,Male,1935,2005
469,Paul Berthon,French,Male,1872,1909
470,Jake Berthot,American,Male,1939,2014
471,Gianni Bertini,Italian,Male,1922,
472,Harry Bertoia,American,Male,1915,1978
473,Emilio Bertonati,Italian,Male,,
474,Albert Besnard,French,Male,1849,1934
475,Forrest Bess,American,Male,1911,1977
476,Ruth Bessoudo Courvoisier,Brazilian,Female,,
477,Alan Randall Best,Canadian,Male,1958,
478,William Betsch,American,Male,,
479,Pierre Betz,French,Male,1899,1969
480,Wim Beuning,Dutch,Male,1914,1986
481,Joseph Beuys,German,Male,1921,1986
482,Art Bevacqua,Nationality unknown,Male,,
483,Thomas Bewick,British,Male,1753,1828
484,Jyoti Bhatt,Indian,Male,1934,
485,Domenico Bianchi,Italian,Male,1955,
486,Pamela Bianco,American,Female,1906,1994
487,Fulvio Bianconi,Italian,Male,1915,1996
488,Carl Bianga,German,Male,,
489,Alberto Biasi,Italian,Male,1937,
490,Guido Biasi,Italian,Male,1933,
491,Ashley Bickerton,British,Male,1959,
492,George Biddle,American,Male,1885,1973
493,Charles Biederman,American,Male,1906,2004
494,James Biederman,American,Male,1947,
495,Aenne Biermann,German,Female,1898,1933
496,Wilson Bigaud,Haitian,Male,1931,2010
497,Max Bill,Swiss,Male,1908,1994
498,Joseph Binder,American,Male,1898,1972
499,Ilse Bing,American,Female,1899,1998
500,Robert J. Bingham,British,Male,1824,1870
501,Manfred Bingler,Swiss,Male,1928,
502,Peter Birkhauser,Swiss,Male,1911,1976
503,Robert Birmelin,American,Male,1933,
504,Werner Bischof,Swiss,Male,1916,1954
505,Elmer Bischoff,American,Male,1916,1991
506,Isabel Bishop,American,Female,1902,1988
507,James Bishop,American,Male,1927,
508,Michael Bishop,American,Male,1946,
509,Maureen Bisilliat,American,Female,1931,
510,Antonio Bisquert Pérez,Spanish,Male,1906,1990
511,Julius Bissier,German,Male,1893,1965
512,Roger Bissière,French,Male,1888,1964
513,George Bissill,British,Male,1896,1973
514,Auguste Rosalie Bisson,French,Male,1826,1900
515,Louis-Auguste Bisson,French,Male,1814,1876
516,Arnold Bittleman,American,Male,1933,1985
517,Dolores Dembus Bittleman,American,Female,1931,
